10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,1,1,10,1,10,1,1,1,1,1,10,1,13,1,1,1,10,1,1,1,10,10,1,1,1,1,1,1,10
10,10,1,1,1,1,1,10,10,10,1,10,1,10,10,10,1,10,1,10,1,11,1,1,10,10,10,1,10,10
10,1,1,10,10,10,1,10,1,1,1,1,1,1,1,10,1,10,1,10,10,10,10,1,1,1,1,1,1,10
10,10,1,1,1,1,1,1,1,10,1,10,10,10,1,1,1,10,1,1,1,1,10,1,10,1,10,1,10,10
10,10,1,10,1,10,1,10,10,1,1,1,1,10,1,10,1,10,10,10,10,1,10,5,1,1,1,1,1,10
10,10,1,1,5,1,1,1,10,1,10,10,1,10,1,10,1,1,1,1,1,1,10,1,10,10,10,10,1,10
10,10,1,10,10,10,10,1,10,1,10,1,1,1,1,10,10,10,10,10,10,1,1,1,1,1,1,1,1,10
10,1,1,1,1,1,1,1,1,1,10,1,10,10,1,1,1,1,1,1,1,1,10,10,1,10,1,10,10,10
10,1,10,10,10,1,10,10,1,1,1,1,1,10,10,10,0,10,10,1,10,1,1,10,1,1,1,1,10,10
10,1,1,1,1,1,1,1,10,10,1,10,1,1,10,0,0,0,10,1,10,10,1,1,1,10,10,1,10,10
10,1,10,1,10,1,10,1,1,1,1,10,10,1,10,10,10,10,10,1,1,1,10,10,1,1,1,1,1,10
10,1,10,1,1,1,1,1,10,10,1,10,1,1,14,1,1,10,10,1,10,1,1,10,10,1,10,1,10,10
10,1,10,1,10,10,10,1,1,1,1,1,1,10,10,10,1,1,1,1,1,10,1,10,1,1,1,1,1,10
10,1,1,1,1,1,10,10,1,10,1,10,1,1,10,10,10,10,10,10,10,10,10,10,10,10,1,13,1,10
10,10,10,10,1,1,10,1,1,1,1,5,10,1,1,1,1,1,1,10,1,1,1,10,10,1,1,1,10,10
10,10,1,1,1,1,1,1,10,10,10,1,10,10,1,10,10,10,1,10,1,10,1,1,1,1,10,1,1,10
10,1,1,10,10,10,1,10,1,1,1,1,1,1,1,1,1,10,1,10,1,10,10,10,10,1,10,1,10,10
10,10,1,1,1,1,1,1,1,10,1,10,1,10,10,10,1,1,1,10,1,1,1,1,10,1,1,1,1,10
10,10,1,10,1,10,1,10,10,1,1,1,1,1,1,10,1,10,1,10,10,10,10,1,10,5,10,1,1,10
10,10,1,1,1,1,1,1,10,1,10,1,1,10,1,10,1,10,1,1,1,1,1,1,10,1,10,1,10,10
10,10,1,10,10,10,10,1,10,1,10,1,10,10,1,1,1,10,10,10,10,10,10,1,1,1,10,1,10,10
10,1,1,13,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1,1,1,1,1,10,1,1,1,1,10
10,1,10,1,10,10,10,1,10,10,1,10,10,10,1,10,10,10,1,10,10,1,10,1,10,1,10,1,10,10
10,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,10
10,10,10,1,10,10,1,10,1,10,1,10,1,10,1,10,10,1,10,1,10,1,10,10,1,10,10,1,10,10
10,1,1,1,10,1,1,10,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1,10,1,1,1,1,1,10
10,1,10,10,10,10,1,10,10,10,10,1,10,10,10,10,10,1,10,10,10,10,1,10,10,1,10,10,1,10
10,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
